64
0,10
0,17
1,11
1,16
1,18
2,8
2,12
2,17
2,19
3,9
3,13
3,18
3,20
4,10
4,14
4,19
4,21
5,11
5,15
5,20
5,22
6,12
6,16
6,21
6,23
7,13
7,22
7,24
8,18
8,25
9,19
9,24
9,26
10,0
10,4
10,20
10,27
11,1
11,5
11,21
11,26
11,28
12,2
12,6
12,22
12,27
12,29
13,3
13,7
13,23
13,28
13,30
14,4
14,24
14,29
14,31
15,5
15,25
15,30
16,1
16,6
16,26
16,33
17,0
17,2
17,27
17,34
18,1
18,3
18,8
18,28
18,35
19,2
19,4
19,9
19,29
19,36
20,3
20,5
20,10
20,30
20,37
21,4
21,6
21,11
21,31
21,38
22,5
22,7
22,12
22,32
22,39
23,6
23,13
23,40
24,9
24,14
24,29
24,31
24,34
24,41
25,15
25,30
25,35
25,42
26,9
26,11
26,16
26,31
26,36
26,43
27,10
27,12
27,17
27,32
27,37
27,44
28,11
28,13
28,18
28,33
28,38
28,45
29,12
29,14
29,19
29,34
29,39
29,46
30,13
30,15
30,20
30,35
30,40
30,47
31,14
31,21
31,26
31,36
31,48
32,22
32,27
32,39
32,49
33,16
33,28
33,42
33,50
34,17
34,24
34,29
34,43
34,51
35,18
35,25
35,30
35,44
35,52
36,19
36,26
36,31
36,45
36,53
37,20
37,27
37,46
37,54
38,21
38,28
38,47
38,55
39,22
39,29
39,32
39,48
39,56
40,23
40,30
40,57
41,24
41,46
41,50
41,58
42,25
42,33
42,47
42,51
42,59
43,26
43,34
43,48
43,52
43,60
44,27
44,35
44,49
44,53
44,61
45,28
45,36
45,50
45,54
45,62
46,29
46,37
46,41
46,51
46,55
46,63
47,30
47,38
47,42
47,52
47,56
48,31
48,39
48,43
48,57
49,32
49,44
49,58
50,33
50,41
50,45
50,59
51,34
51,42
51,46
51,60
52,35
52,43
52,47
52,61
53,36
53,44
53,58
53,62
54,37
54,45
54,59
54,63
55,38
55,46
55,60
56,39
56,47
56,61
57,40
57,48
57,62
58,41
58,49
58,53
58,63
59,42
59,50
59,54
60,43
60,51
60,55
61,44
61,52
61,56
62,45
62,53
62,57
63,46
63,54
63,58
